Name,Type,Mean index value,Index value SD,Mean index value (visible),Index value (visible) SD,Area [ha],index_name,source_folder,measurement,altitude_m,CV
Zmor5duzy,Area,0.6675,0.07045,0.66549,0.0688,0.00078,GNDVI,"1 01LBZ20,05_L30",1,30,0.105543071
Zmor2maly,Area,0.6078,0.10017,0.60748,0.09894,0.0005,GNDVI,"1 01LBZ20,05_L30",1,30,0.164807502
Zmor2duzy,Area,0.59675,0.09994,0.59665,0.09866,0.0007,GNDVI,"1 01LBZ20,05_L30",1,30,0.167473817
Zample2maly,Area,0.27408,0.07784,0.27461,0.0772,0.00031,LCI,"1 01LBZ20,05_L30",1,30,0.28400467
Zample2duzy,Area,0.26444,0.08222,0.26522,0.08138,0.0005,LCI,"1 01LBZ20,05_L30",1,30,0.310921192
Zample3maly,Area,0.28551,0.07496,0.28554,0.07492,0.00029,LCI,"1 01LBZ20,05_L30",1,30,0.262547722
Zample3duzy,Area,0.30052,0.09374,0.3008,0.09342,0.00053,LCI,"1 01LBZ20,05_L30",1,30,0.311925995
Zample4maly,Area,0.3078,0.0813,0.30782,0.08123,0.00039,LCI,"1 01LBZ20,05_L30",1,30,0.264132554
Zample4duzy,Area,0.3089,0.09255,0.309,0.09233,0.00057,LCI,"1 01LBZ20,05_L30",1,30,0.299611525
Zample5maly,Area,0.30618,0.08396,0.30616,0.08392,0.00038,LCI,"1 01LBZ20,05_L30",1,30,0.27421778
Zample5duzy,Area,0.34,0.10445,0.34,0.10406,0.00072,LCI,"1 01LBZ20,05_L30",1,30,0.307205882
Zprze2maly,Area,0.2907,0.07622,0.29072,0.07619,0.00024,LCI,"1 01LBZ20,05_L30",1,30,0.262194702
Zprze2duzy,Area,0.28112,0.0767,0.28134,0.07641,0.00039,LCI,"1 01LBZ20,05_L30",1,30,0.272837223
Zprze3maly,Area,0.30155,0.07642,0.30157,0.0764,0.00031,LCI,"1 01LBZ20,05_L30",1,30,0.253423976
Zprze3duzy,Area,0.30364,0.07958,0.30373,0.07942,0.00049,LCI,"1 01LBZ20,05_L30",1,30,0.262086682
Zprze4maly,Area,0.3143,0.07977,0.31432,0.07974,0.00031,LCI,"1 01LBZ20,05_L30",1,30,0.2538021
Zprze4duzy,Area,0.31017,0.08604,0.31032,0.0858,0.0005,LCI,"1 01LBZ20,05_L30",1,30,0.277396267
Zprze5maly,Area,0.31481,0.07767,0.31486,0.0776,0.00037,LCI,"1 01LBZ20,05_L30",1,30,0.246720244
Zprze5duzy,Area,0.32177,0.09111,0.32149,0.09065,0.00062,LCI,"1 01LBZ20,05_L30",1,30,0.283152562
Zcarron3maly,Area,0.26832,0.07427,0.26843,0.07414,0.0004,LCI,"1 01LBZ20,05_L30",1,30,0.276796363
Zcarron3duzy,Area,0.27701,0.08645,0.27725,0.08613,0.00062,LCI,"1 01LBZ20,05_L30",1,30,0.312082596
Zcarron4maly,Area,0.28447,0.07048,0.2845,0.07043,0.00037,LCI,"1 01LBZ20,05_L30",1,30,0.24775899
